file,rows,columns,column_names
Places for Travel-Dining-Recreational activities and Information of travel agents.csv,1523,7,Type | Name | Address | Grade | District | AGA Division | PS/MC/UC
Travel Agents.xlsx,852,5,Name | Address | District | AGA Division | PS/MC/UC
