restaurant_id,name,address,district,city,grade,cuisine,latitude,longitude,telephone,email,website,source,source_file,name_key
RES000357,ROYAL CHINES RESTAURANT,"NO:12/2,KOSWATTA,RATHMALE RD,KEKENADURA",Matara,,B,,,,,,,official_tourism,Restaurants.xlsx,royal chines restaurant
RES000358,WHIGHTE AND CO CAFE,"24,ALOE AVENUE ,COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,whighte and co cafe
RES000359,VICEROY II,"58,HAVELOCK ROAD,COLOMBO 05",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,viceroy ii
RES000360,RAILWAY CATERING SERVICE,RAILWAY STATION FORT.,Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,railway catering service
RES000361,TRANQUIL ULTRA LOUNGE,"NO:85B,DHARMAPALA MAWATHA,COLOMBO 7",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,tranquil ultra lounge
RES000362,FLAMINGO HOUSE,"NO 56/5,58 A,HORTON PLACE,COLOMBO 07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,flamingo house
RES000363,TUSKER RESTAURANT,"83, ETHUKALA ROAD, KATUWA",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,tusker restaurant
RES000364,WHICH WAY WEST-CAFE-PUB-LOUNGE,"UNIT L/FF,FIRST FLOOR,THE LIBERTY ARCADE,NO.282 R.A. DE MEL MAWATHA, COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,which way west cafe pub lounge
RES000365,ORO 1889,"SHOP 5,LEVEZ 2,282 R.A.DE MEL MAWATHA,COLOMBO 03",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,oro 1889
RES000366,LEMONGRASS (PALAWATTA),"241,PANIPITYA ROAD,PALAWATTA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,lemongrass palawatta
RES000367,NOMADS & CO,"NO:66/3,WARD PLACE,COLOMBO 7",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,nomads co
RES000368,WINE CONNECTION,"NO 30 (SHOP NO 03), INDEPENDENCE SQUARE, COLOMBO 07.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,wine connection
RES000369,KAEMASUTRA RESTURANT,"NO 30,INDEPENDENCE SQUARE,COLOMBO 07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,kaemasutra resturant
RES000370,PREGO,"NO 02E,PORUTHOTA ROAD,NEGAMBO",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,prego
RES000371,KING TASTE RESTURANT,"NO 04,BANDARANAYAKA MW,KATUBEDDA,MORATUWA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,king taste resturant
RES000372,CAFE CEYLON RESTAURANT,"MATARA ROAD,KABALANA,AHANGAMA",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,cafe ceylon restaurant
RES000373,MIYULA RESTAURANT,"KANDY COLOMBO ROAD,PAHALA KADUGANNAWA,HINGULA",Kegalle,,B,,,,,,,official_tourism,Restaurants.xlsx,miyula restaurant
RES000374,169 RESTURANT,"NEW ROAD,NEAR ECONOMIC CENTER,DAMBULLA",Matale,,B,,,,,,,official_tourism,Restaurants.xlsx,169 resturant
RES000375,SENWIN RESTAURANT,"NO 266A, MANAMPITA, THALGASWALA",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,senwin restaurant
RES000376,TALPE BEACH,"NO 1042, MATARA ROAD, TALPE, GALLE",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,talpe beach
RES000377,KANDOORI RESTAURANT (COLOMBO),"17,CHARLIMONT ROAD,COLOMBO 06",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,kandoori restaurant colombo
RES000378,THE SUSHIBAR SAMURAI,"ETHUKALE,PORUTOTA ROAD,NEGOMBO",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,the sushibar samurai
RES000379,TSUKIJI UOICHI,"WP 07,NO 30, ARCADE INDEPENDANCE SQUARE,COLOMBO 07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,tsukiji uoichi
RES000380,YUZHENGE RESTAURANT,"51C,ALEXANDRA PLACE,COLOMBO 07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,yuzhenge restaurant
RES000381,SINGHARAJA,"120,GALLE ROAD KALUEAMODARA,ALUTHGAMA",Kalutara,,A,,,,,,,official_tourism,Restaurants.xlsx,singharaja
RES000382,CITY RESTAURANT,"MANATKUDIYIRUPPU,MULLAITIVU",Mullaitivu,,B,,,,,,,official_tourism,Restaurants.xlsx,city restaurant
RES000383,TAPHOUSE BY RNR,"SHOP NO- GF 07,DUTCH HOSPITAL SHOPPING PRECINT,GALLE FORT,GALLE",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,taphouse by rnr
RES000384,RASARA RESTAURANT,"NO 35 POTUVIL ROAD,DOMBAGAHAWELA,MONARAGALA",Moneragala,,B,,,,,,,official_tourism,Restaurants.xlsx,rasara restaurant
RES000385,TANG DYNASTY CHINESE RESTAURANT,"NO 75,DICKMANS ROAD,COLOMBO 05",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,tang dynasty chinese restaurant
RES000386,DAFFODIL HOTEL,"KOYIL KUDIYIRUPPU, MULLATIVU.",Mullaitivu,,A,,,,,,,official_tourism,Restaurants.xlsx,daffodil hotel
RES000387,KAMLO SEA FOOD RESTAURANT,"62,PORUTHOTA ROAD,ETTUKALA,NEGOMBO",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,kamlo sea food restaurant
RES000388,ROSANDA RESTAURANT,"NO.107/4 KURUNEGALA ROAD,KOTADENIYAWA",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,rosanda restaurant
RES000389,HOTEL PARAMA,"NO.370,DELGAHAWATTA,MEETIYAGODA.",Galle,,B,,,,,,,official_tourism,Restaurants.xlsx,hotel parama
RES000390,WANAPETHA RESTAURANT,"129/1, HORANA ROAD, KESBEWA.",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,wanapetha restaurant
RES000391,THE WHITE HOUSE RESTAURANT.,"NO 31 GALLE ROAD, AMBALANGODA.",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,the white house restaurant
RES000392,ANKARA TURKISH RESTAURANT,25 MILAGIRIYA AVENUE COLOMBO 04,Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,ankara turkish restaurant
RES000393,LA ROZA RESTAURANT,"400/1, AVISSAWELLA ROAD, IHALA BOMIRIYA, KADUWELA.",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,la roza restaurant
RES000394,THE GRAND TOURIST HOLIDAY RESORT,"4/B/2,STAGE 1,LAKE ROAD,HARISCHANDRA MAWATHA,ANURADHAPURA.",Anuradhapura,,B,,,,,,,official_tourism,Restaurants.xlsx,the grand tourist holiday resort
RES000395,DKN CAFE,"475/C,SRI JAYAWARDENAPURA MAWATHA,WELIKADA,RAJAGIRIYA.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,dkn cafe
RES000396,GAMMANAYA ECO TOURISM RESTAURANT.,"MURAPOLA JUNCTION,SINHARAJA ROAD,DENIYAYA.",Matara,,B,,,,,,,official_tourism,Restaurants.xlsx,gammanaya eco tourism restaurant
