accommodation_id,name,type,address,district,city,grade,rooms,latitude,longitude,telephone,email,website,source,source_file,name_key,all_source_files
ACC001586,SANROCK,Bangalows,"NO 9, RATHNAGIRI WATTA, ELLA",Badulla,Ella Pradeshiya Sabha,STANDARD,3,,,,,,official_tourism,Information for Accommodation.csv,sanrock,Bungalows.xlsx | Information for Accommodation.csv
ACC001587,SANTANI,Guest Houses,"ARATENNA ESTATE,WERAPITIYA,THELDENIYA,KANDY.",Kandy,Kandy,A,20,7.3577013,,,,,official_tourism,Information for Accommodation.csv,santani,Guest Houses.xlsx | Information for Accommodation.csv
ACC001588,SANULA GUEST HOUSE,Guest Houses,"SANULA GUEST HOUSE,BANDARWATHTHA,WATHTHAGAMA,SOUTH DICKWELLA",Matara,Dickwella,B,7,,,,,,official_tourism,Information for Accommodation.csv,sanula guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001589,SANUPA VILLA KANDY,Home Stay Units,"NO. 09 MAHAWELI BREEZE,,MALIGATHENNA GURUDENIYA,,KANDY.",Kandy,Gagawata Koralya,SUPERIOR,2,7.265038,,,,,official_tourism,Information for Accommodation.csv,sanupa villa kandy,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001590,SANWA INN & RESTAURANT,Guest Houses,"NO:20,DEHIWALA ROAD,BORALESGAMUWA",Colombo,Boralesgamuwa,B,5,,,,,,official_tourism,Information for Accommodation.csv,sanwa inn restaurant,Guest Houses.xlsx | Information for Accommodation.csv
ACC001591,SAPPHIRE SEAS HOTEL,Guest Houses,"SAPPHIRE SEAS HOTEL,GALLE ROAD, PATUWATHA, DODANDUWA,HIKKADUWA",Galle,Hikkaduwa,A,11,6.116151,,,,,official_tourism,Information for Accommodation.csv,sapphire seas hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001592,SAPTHAPADHI,Guest Houses,"NO:35, COLOMBO ROAD,MALANGAMA,RATNAPURA",Ratnapura,Ratnapura,A,14,6.732908,,,,,official_tourism,Information for Accommodation.csv,sapthapadhi,Guest Houses.xlsx | Information for Accommodation.csv
ACC001593,SARA HOMES,Home Stay Units,"NO 141, 4TH LANE, VISHAKA WATTHA, EKALA",Gampaha,Ja-Ela Pradeshiya Sabha,SUPERIOR,3,7.0959788,,,,,official_tourism,Information for Accommodation.csv,sara homes,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001594,SARAII,Guest Houses,"RANDUNU KELLE WATTE,WEERAWILA,HAMBANTOTA.",Hambantota,Thissamaharama,B,14,6.267036,,,,,official_tourism,Information for Accommodation.csv,saraii,Guest Houses.xlsx | Information for Accommodation.csv
ACC001595,SARANGA HOLIDAY INN,Guest Houses,37.ELLA ROAD.WELLAWAYA.,Moneragala,Wellawaya,A,10,6.733045,,,,,official_tourism,Information for Accommodation.csv,saranga holiday inn,Guest Houses.xlsx | Information for Accommodation.csv
ACC001596,SARASA HOTEL,Tourist Hotels,"937 KANDY ROAD,WEDAMULLA,KELANIYA",Gampaha,Gampaha,,19,6.968135,,,,,official_tourism,Information for Accommodation.csv,sarasa hotel,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC001597,SARASA PARK HOTEL,Guest Houses,"NO:18,RUKMANI DEVI MAWATHA,NEGOMBO",Gampaha,Gampaha,B,12,,,,,,official_tourism,Information for Accommodation.csv,sarasa park hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001598,SARATHCHANDRA TOURIST GUEST HOUSE,Guest Houses,"PALLEGAMA, EMBILIPITIYA.",Ratnapura,Embilipitiya,B,16,,,,,,official_tourism,Information for Accommodation.csv,sarathchandra tourist guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001599,SASELL GUEST HOUSE,Guest Houses,"NO. 224, OLD GALLE ROAD, PALLIMULLA, PANADURA",Kalutara,Panadura Pradeshiya Sabha,A,8,,,,,,official_tourism,Information for Accommodation.csv,sasell guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001600,SATHMALA ELLA,Guest Houses,"GAMMADUWELA, PALLEGAMA, DENIYAYA",Matara,Matara,A,12,,,,,,official_tourism,Information for Accommodation.csv,sathmala ella,Guest Houses.xlsx | Information for Accommodation.csv
ACC001601,SATIN SANDS LANKA,Bangalows,"796, MATARA ROAD, MIHIRIPANNA, THALPE",Galle,Habaraduwa,DELUXE,4,,,,,,official_tourism,Information for Accommodation.csv,satin sands lanka,Bungalows.xlsx | Information for Accommodation.csv
