place_id,name,name_key,category,subcategory,district,city,province,latitude,longitude,opening_hours,source,source_file,all_sources,all_source_files
PLC0014573,Sarathchandra Textiles,sarathchandra textiles,shopping,clothes,Ratnapura,,Sabaragamuwa,6.7736541,80.3682215,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014574,SARATHCHANDRA TOURIST GUEST HOUSE,sarathchandra tourist guest house,accommodation,Guest Houses,Ratnapura,Embilipitiya,,,,,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv
PLC0014575,SARAVA VILLAGE,sarava village,food,,Galle,,,,,,official_tourism,Restaurants.xlsx,official_tourism,Restaurants.xlsx
PLC0014576,Saravana Bawan,saravana bawan,food,fast_food,Colombo,Dehiwala,Western,6.853661,79.8658407,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014577,Saravanabavan Hotel (vegetarian),saravanabavan hotel vegetarian,food,fast_food,Jaffna,,Northern,9.6961628,80.014449,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014578,Saravanas Grocery,saravanas grocery,shopping,greengrocer,Colombo,Colombo,Western,6.9717172,79.8703907,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014579,Sarawana Bhawan Restaurant,sarawana bhawan restaurant,food,restaurant,Nuwara Eliya,,Central,6.830296,80.5398394,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014580,Sarawathi Thevi,sarawathi thevi,attraction,artwork,Jaffna,,Northern,9.6607964,80.0446803,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014581,Sarawi Medhura Girls Hostel,sarawi medhura girls hostel,accommodation,hostel,Batticaloa,,Eastern,7.7994071,81.58616753500826,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014582,Saree Drepes,saree drepes,shopping,clothes,Colombo,Sri Jayawadhanapura Kotte,Western,6.8868866,79.9023615,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014583,Sari Prabas Hotel,sari prabas hotel,food,fast_food,Batticaloa,,Eastern,7.7828297,81.5938315,06:00-21:00,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014584,Sarnia Plaiderie Tea,sarnia plaiderie tea,shopping,tea,Badulla,,Uva,7.0201848,81.018206,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014585,Saroja Textiles,saroja textiles,shopping,clothes,Kandy,,Central,7.1972587,80.6688198,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014586,Saroma,saroma,accommodation,hotel,Galle,,Southern,6.2797997,80.0405834,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014587,Sarras Guest House,sarras guest house,food,restaurant,Jaffna,,Northern,9.66194535,80.02746381609553,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014588,Sarrita Jewellery,sarrita jewellery,shopping,jewelry,Colombo,Colombo 11,Western,6.9401321,79.8541375,Mo-Sa 07:00-19:00,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014589,Saruketha Restaurant,saruketha restaurant,food,restaurant,Polonnaruwa,,North Central,7.975243,80.9737821,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014590,Saruketha,saruketha,food,restaurant,Kurunegala,Kurunegala,North Western,7.4983034,80.3841121,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014591,Sarvodaya Samma Vaasa Kandy,sarvodaya samma vaasa kandy,accommodation,guest_house,Kandy,,Central,7.2910243,80.6442558,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014592,Sarvodaya,sarvodaya,accommodation,hostel,Galle,,Southern,6.0547604,80.2133522,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014593,Sarvodaya,sarvodaya,accommodation,guest_house,Trincomalee,,Eastern,8.6051981,81.2166395,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014594,Sasandra Ayurvedi Spa,sasandra ayurvedi spa,shopping,massage,Colombo,,Western,6.8934776,79.9282211,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014595,Sasaraga Rooms and restaurant,sasaraga rooms and restaurant,accommodation,guest_house,Hambantota,,Southern,6.0310635999999995,80.79880073019137,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014596,SASELL GUEST HOUSE,sasell guest house,accommodation,Guest Houses,Kalutara,Panadura Pradeshiya Sabha,,,,,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv
PLC0014597,Sasha food court,sasha food court,food,fast_food,Gampaha,,Western,7.1332412,79.8761526,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014598,Sasha,sasha,food,restaurant,Gampaha,,Western,7.1927241,79.8569078,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014599,Sashikala pharmacy maravila,sashikala pharmacy maravila,shopping,beauty,Puttalam,,North Western,7.4125443,79.8310126,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014600,Sashikalas pharmacy maravila,sashikalas pharmacy maravila,shopping,beauty,Puttalam,,North Western,7.4125712,79.8310614,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014601,Sashini Home Stay,sashini home stay,accommodation,guest_house,Matale,,Central,7.9502498,80.7594339,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014602,Sasi Garage,sasi garage,shopping,motorcycle_repair,Mannar,,Northern,8.9782372,79.9099981,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014603,Sasi store,sasi store,shopping,convenience,Batticaloa,,Eastern,7.78855125,81.59640818651178,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014604,Sasi welding shop,sasi welding shop,shopping,hardware,Batticaloa,,Eastern,7.78768685,81.58781744999999,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014605,Sasidu Enterprises,sasidu enterprises,shopping,trade,Colombo,,Western,6.8989729,79.9391171,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014606,Sasika restoran,sasika restoran,food,restaurant,Kalutara,,Western,6.4478506,79.9831696,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014607,Sasiri Shoe Palace,sasiri shoe palace,shopping,shoes,Matara,Kamburupitiya,Southern,6.0804256,80.56626258764368,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014608,Sasirika Bakers,sasirika bakers,food,cafe,Colombo,Nugegoda,Western,6.8697464,79.897929,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014609,Sasiru Book Shop,sasiru book shop,shopping,books,Kalutara,,Western,6.7553443,79.9029219,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014610,Saskia Fernando Gallery,saskia fernando gallery,shopping,clothes,Colombo,,Western,6.9116864,79.8685198,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014611,Sasmika Hotel,sasmika hotel,food,restaurant,Batticaloa,,Eastern,7.8198353,81.61053765164797,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
